memory size,log(memory size),log(average cycles),average cycles,median cycles
1024,10,1.459431619,2.75,4
2048,11,1.321928095,2.5,4
3072,11.5849625,1.117695043,2.17,0
4096,12,1.207892852,2.31,4
5120,12.32192809,0.678071905,1.6,0
6144,12.5849625,1.028569152,2.04,4
7168,12.80735492,1.028569152,2.04,4
8192,13,1.021479727,2.03,0
9216,13.169925,1,2,4
10240,13.32192809,0.98550043,1.98,0
11264,13.45943162,1,2,4
12288,13.5849625,0.970853654,1.96,0
13312,13.70043972,1.014355293,2.02,4
14336,13.80735492,1.077242999,2.11,4
15360,13.9068906,1.049630768,2.07,4
16384,14,1.084064265,2.12,4
17408,14.08746284,0.97819563,1.97,0
18432,14.169925,0.948600847,1.93,0
19456,14.24792751,0.90303827,1.87,0
20480,14.32192809,0.956056652,1.94,0
21504,14.39231742,1.220329955,2.33,4
22528,14.45943162,1,2,4
23552,14.52356196,1.021479727,2.03,4
24576,14.5849625,0.97819563,1.97,0
25600,14.64385619,1.056583528,2.08,4
26624,14.70043972,1.124328135,2.18,4
27648,14.7548875,1.263034406,2.4,4
28672,14.80735492,1.14404637,2.21,4
29696,14.857981,1.220329955,2.33,4
30720,14.9068906,1.378511623,2.6,4
31744,14.95419631,1.700439718,3.25,4
32768,15,2.606442228,6.09,4
49152,15.5849625,2.307428525,4.95,4
65536,16,2.304511042,4.94,4
81920,16.32192809,1.996388746,3.99,4
98304,16.5849625,2.298658316,4.92,4
114688,16.80735492,2.430285273,5.39,4
131072,17,5.64587455,50.07,4
196608,17.5849625,3.166715445,8.98,4
262144,18,4.009884589,16.11,12
327680,18.32192809,4.468583317,22.14,28
393216,18.5849625,4.489928219,22.47,28
458752,18.80735492,4.622930351,24.64,28
524288,19,4.755421735,27.01,28
1048576,20,7.029673735,130.66,180
2097152,21,8.063502942,267.52,188
3145728,21.5849625,6.997179481,127.75,180
4194304,22,7.5055734,181.72,188
5242880,22.32192809,7.66035251,202.3,188
6291456,22.5849625,8.30487605,316.24,192
7340032,22.80735492,9.179088013,579.67,228
8388608,23,7.818262608,225.7,188
9437184,23.169925,7.802645604,223.27,188
10485760,23.32192809,7.763145958,217.24,192
11534336,23.45943162,7.888012585,236.88,192
12582912,23.5849625,7.768184325,218,196
13631488,23.70043972,7.766661412,217.77,196
14680064,23.80735492,8.016418317,258.93,196
15728640,23.9068906,7.778142854,219.51,200
16777216,24,8.024197765,260.33,200
17825792,24.08746284,7.85785662,231.98,200
18874368,24.169925,7.854868383,231.5,200
19922944,24.24792751,8.035073997,262.3,200
20971520,24.32192809,8.203543775,294.79,204
22020096,24.39231742,7.898389767,238.59,204
23068672,24.45943162,7.930205098,243.91,204
24117248,24.52356196,8.201143732,294.3,204
25165824,24.5849625,7.946789334,246.73,204
26214400,24.64385619,7.864433796,233.04,204